Title, Torrent
The Lion King (1994),magnet:?xt=urn:btih:b60c1617d0a766a13b3ca8ac832295a8ac2d53c3&dn=The.Lion.King.1994.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Return of Jafar (1994),magnet:?xt=urn:btih:2aa5a81cb78a02b3c416bbef128532e104d85065&dn=The.Return.Of.Jafar.1994.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2760&tr=udp%3A%2F%2F9.rarbg.to%3A2780
Pocahontas (1995),magnet:?xt=urn:btih:05a89c6c6530cc300585e300c1396703663f962a&dn=Pocahontas.1995.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2730&tr=udp%3A%2F%2F9.rarbg.to%3A2760
The Hunchback of Notre Dame (1996),magnet:?xt=urn:btih:0a8b139323a25d87d9fa324bc20c81644fe8df03&dn=The.Hunchback.of.Notre.Dame.1996.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Aladdin King of Thieves (1996),magnet:?xt=urn:btih:4e2c2ea561ceef08a1aa431486938f9b04452ad9&dn=Aladdin.And.The.King.Of.Thieves.1996.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2740&tr=udp%3A%2F%2F9.rarbg.to%3A2760
Hercules (1997),magnet:?xt=urn:btih:a7ad086a93878f4bd6d4a6c0a4b65314388b064b&dn=Hercules.1997.1080p.BluRay.X264-AMIABLE&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Mulan (1998),magnet:?xt=urn:btih:025d28d8b9fb81bdd1e4f968a6ee597f457d76c8&dn=Mulan.1998.1080p.BluRay.x264-HD4U&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Tarzan (1999),magnet:?xt=urn:btih:a50bc71eaf6ccd0d40b6a62d5ff6b00614e04cbc&dn=Tarzan.1999.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Fantasia 2000 (1999),magnet:?xt=urn:btih:d299712732b2e99c236bea41d24c667c36ca4636&dn=Fantasia.2000.1999.1080p.BluRay.x264-FLAME&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Dinosaur (2000),magnet:?xt=urn:btih:086c3e94b9603c9068dc9d6372a843ada32b2157&dn=Dinosaur.2000.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Princess Bride (1987),magnet:?xt=urn:btih:1b2636ce397f8c211f74544b795f3f80079a504c&dn=The.Princess.Bride.1987.REMASTERED.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Emperor's New Groove (2000),magnet:?xt=urn:btih:559ace4319b98466a60b6416fea19070810a95cd&dn=The.Emperors.New.Groove.2000.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Atlantis: The Lost Empire (2001),magnet:?xt=urn:btih:3873ad03196a787d57a9604aae0933924336e674&dn=Atlantis.The.Lost.Empire.2001.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Monsters, Inc. (2001),magnet:?xt=urn:btih:b7e3acdd206144cc3784dacc5c8d20c49cc53c8f&dn=Monsters.Inc.2001.1080p.BluRay.x264-CiNEFiLE&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Peter Pan 2: Return to Never Land (2002),magnet:?xt=urn:btih:238ef9e616dceeec893d4ff3b2a52a32a83c5db7&dn=Peter.Pan.II.Return.to.Neverland.2002.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Mr. Cinderella (2002),magnet:?xt=urn:btih:132f8bd2730b9704243d332937c3c1a557b83ca6&dn=Cinderella.II.Dreams.Come.True.2002.1080p.BluRay.x264.DTS-FGT&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Hunchback of Notre Dame 2 (2002), magnet:?xt=urn:btih:ebf55b34d521f9dc10251c1294e6b8a5c510755b&dn=The.Hunchback.Of.Notre.Dame.II.2002.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2790&tr=udp%3A%2F%2F9.rarbg.to%3A2720
